_id,name,property_type,room_type,bed_type,bedrooms,market,country
10306879,Alugo Apart frente mar Barra Tijuca,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
103161,Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,Entire home/apt,Real Bed,1,New York,United States
10317142,Private OceanFront - Bathtub Beach. Spacious House,House,Entire home/apt,Real Bed,4,Oahu,United States
10324377,Suíte em local tranquilo e seguro,House,Private room,Real Bed,1,Rio De Janeiro,Brazil
10332161,A large sunny bedroom,Apartment,Private room,Real Bed,1,New York,United States
10343118,Best location 1BR Apt in HK - Shops & Sights,Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
10354347,Room For Erasmus,Apartment,Private room,Real Bed,2,Istanbul,Turkey
10359729,,Apartment,Private room,Real Bed,1,Istanbul,Turkey
1036027,BBC OPORTO 4X2,Apartment,Entire home/apt,Real Bed,4,Porto,Portugal
10373872,Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
1038163,luxury apartment in istanbul taxsim,Apartment,Entire home/apt,Real Bed,1,Istanbul,Turkey
10381879,Pousada das Colonias,Bed and breakfast,Private room,Real Bed,1,Rio De Janeiro,Brazil
10383490,Quarto Taquara - Jacarepaguá,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
10392282,Banyan Bungalow,Bungalow,Entire home/apt,Real Bed,0,Oahu,United States
10411341,Beautiful flat with services,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10415637,(1) Beach Guest House - Go Make A Trip,Bed and breakfast,Private room,Real Bed,1,Rio De Janeiro,Brazil
10416859,"Studio convenient to CBD, beaches, street parking.",Guest suite,Entire home/apt,Real Bed,1,Sydney,Australia
10423504,Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,Real Bed,3,Sydney,Australia
1042446,March 2019 availability! Oceanview on Sugar Beach!,Condominium,Entire home/apt,Real Bed,1,Maui,United States
10431455,Sala e quarto em copacabana com cozinha americana,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
10448594,Where Castles and Art meet the Sea,Apartment,Entire home/apt,Real Bed,1,Porto,Portugal
10449328,Aluguel Temporada Casa São Conrado,House,Entire home/apt,Real Bed,4,Rio De Janeiro,Brazil
10458796,Homely Room in 5-Star New Condo@MTR,Condominium,Private room,Real Bed,1,Hong Kong,Hong Kong
10459480,Greenwich Fun and Luxury,House,Entire home/apt,Real Bed,4,Sydney,Australia
1047087,The Garden Studio,Guesthouse,Entire home/apt,Real Bed,1,Sydney,Australia
10471178,Rented Room,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
10486984,Cheerful new renovated central apt,Apartment,Entire home/apt,Real Bed,3,Istanbul,Turkey
10487917,Heroísmo IV,Apartment,Entire home/apt,Real Bed,0,Porto,Portugal
10488837,Cozy House in Ortaköy,Apartment,Private room,Real Bed,1,Istanbul,Turkey
10519173,Condomínio Praia Barra da Tijuca,Condominium,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10527212,位於深水埗地鐵站的溫馨公寓,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
10527243,Tropical Jungle Oasis,Condominium,Entire home/apt,Real Bed,2,The Big Island,United States
10542174,Luxury 1-Bdrm in Downtown Brooklyn,Apartment,Entire home/apt,Real Bed,1,New York,United States
10545725,Cozy bedroom Sagrada Familia,Apartment,Private room,Real Bed,1,Barcelona,Spain
10545815,Whole Apt. in East Williamsburg,Apartment,Entire home/apt,Real Bed,1,New York,United States
10548991,Jubilee By The Sea (Ocean Views),House,Entire home/apt,Real Bed,4,The Big Island,United States
10552362,Sun filled comfortable apartment,Apartment,Entire home/apt,Real Bed,1,Sydney,Australia
10558807,Park Guell apartment with terrace,Apartment,Entire home/apt,Real Bed,2,Barcelona,Spain
10560325,Spacious and well located apartment,Apartment,Entire home/apt,Real Bed,2,Porto,Portugal
10570041,Jardim Botânico Gourmet 2 bdroom,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10573225,Charming Spacious Park Slope Studio,Guest suite,Entire home/apt,Real Bed,0,New York,United States
10578580,Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,Entire home/apt,Real Bed,1,Oahu,United States
10581101,Grand apartment Sagrada Familia,Apartment,Entire home/apt,Real Bed,4,Barcelona,Spain
1058555,Nice Cosy Room In Taksim,Apartment,Private room,Real Bed,1,Istanbul,Turkey
10596036,Apt Quarto e Sala amplo Laranjeiras,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
10612199,Serene luxury in Harlem,Apartment,Private room,Real Bed,1,New York,United States
10624493,Cozy apartment 3 mins TAIWAI Subway,Apartment,Entire home/apt,Real Bed,2,Hong Kong,Hong Kong
10628126,Ribeira Smart Flat,Apartment,Entire home/apt,Real Bed,3,Porto,Portugal
1063491,"Charming Apartment,perfect Location",Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
10635276,GREAT Apartment at Barra da Tijuca,Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
10639317,"Kadiköy, Moda, close to transports",Apartment,Private room,Real Bed,1,Istanbul,Turkey
10648267,Lovely ap at Leblon beach,Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
10659534,Beautiful 1 Bedroom Apartment,Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
10664888,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,Entire home/apt,Real Bed,0,Porto,Portugal
1066648,Colonial Mansion in Santa Teresa,House,Entire home/apt,Real Bed,6,Rio De Janeiro,Brazil
1067052,Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,Entire home/apt,Real Bed,1,The Big Island,United States
10671783,CASA PARA AS OLIMPIADAS 2016,House,Entire home/apt,Real Bed,4,Rio De Janeiro,Brazil
10675315,"Cozy, dreamy Mile End apartment",Apartment,Private room,Real Bed,1,Montreal,Canada
10677883,Great location in Barcelona,Apartment,Entire home/apt,Real Bed,4,Barcelona,Spain
1068505,Relaxing and Roomy in Crown Heights,Apartment,Private room,Real Bed,1,New York,United States
1069531,"Asia House, Garden Room, Princevile",Guest suite,Private room,Real Bed,1,Kauai,United States
1070322,Triple room Barcelona Guell park,Condominium,Private room,Real Bed,1,Barcelona,Spain
10706900,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10716793,DOUBLE ROOM for 1 or 2 ppl,Apartment,Private room,Real Bed,1,Barcelona,Spain
1073607,Bright Inner West Terrace Value+,House,Private room,Real Bed,1,Sydney,Australia
1074008,Designer's Historical Apartment,Apartment,Entire home/apt,Real Bed,1,Istanbul,Turkey
10742116,"Nişantaşı, safe, quality area.Very close to metro.",Apartment,Entire home/apt,Real Bed,1,Istanbul,Turkey
10751153,Renovated Classic Design Studio with Sun Room,Apartment,Entire home/apt,Real Bed,1,Porto,Portugal
10752737,HUGE Bedroom in Lower East Side,Apartment,Private room,Real Bed,1,New York,United States
1077686,BALAT,House,Private room,Real Bed,1,Istanbul,Turkey
10782351,City View Apartment,Serviced apartment,Entire home/apt,Real Bed,1,Istanbul,Turkey
1079887,Trendy apartment in BCN centre,Apartment,Entire home/apt,Real Bed,2,Barcelona,Spain
10802909,Room in the very ♥ of BCN - Unbeatable location,Condominium,Private room,Real Bed,1,Barcelona,Spain
10812136,well lit East Williamsburg apt.,Apartment,Private room,Real Bed,1,New York,United States
10816768,Spacious 2 Bedroom: Soho/Escalator,Apartment,Entire home/apt,Real Bed,2,Hong Kong,Hong Kong
10819035,Comfort Room in Istanbul,Apartment,Private room,Real Bed,1,Istanbul,Turkey
10828339,Quarto espaçoso e arejado no Rio.,Hostel,Private room,Real Bed,1,Rio De Janeiro,Brazil
10839801,Room w private toilet 3 min to MTR!,Condominium,Private room,Real Bed,1,Hong Kong,Hong Kong
10839973,傳統香港房间 - 干净整洁交通便利的二人房间,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
10840938,Spacious 3bdrm. Artsy and Perfect Location!,Apartment,Entire home/apt,Real Bed,3,Hong Kong,Hong Kong
10850008,Big Private BR Steps to Barnard Columbia & Subways,Apartment,Private room,Real Bed,1,New York,United States
10852990,Apartamento para as olimpíadas,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10855800,Hospede-se com acesso fácil.,Condominium,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10857454,Artist Garden Duplex Ft. Greene - 2.5 Bedroom,Apartment,Entire home/apt,Real Bed,3,New York,United States
10862541,AP. EM CONDOMINIO FECHADO,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
10887852,Cozy Hell's Kitchen Apt,Apartment,Entire home/apt,Real Bed,1,New York,United States
10893326,Designer Apartment in Sheung Wan,Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
1089542,Private Cozy Bedroom in Brooklyn,Apartment,Private room,Real Bed,1,New York,United States
1090153,Aquilla House - Ocean Views Newport,House,Entire home/apt,Real Bed,4,Sydney,Australia
10908640,Quarto de Casal em Ipanema,Apartment,Private room,Real Bed,1,Rio De Janeiro,Brazil
10911771,causeway bay MTR+Tidy Quad room&YT,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
1092760,Private Entrance - Backyard Summer Dining - Enjoy,Townhouse,Entire home/apt,Real Bed,1,New York,United States
10932304,"Waterfront, Enchanted Lake Home 2/1",House,Entire home/apt,Real Bed,2,Oahu,United States
10948197,aOceanside Hawaii Apartment Studio Kitchen Parking,Apartment,Entire home/apt,Real Bed,1,Oahu,United States
1095174,Makai Hideaway,House,Entire home/apt,Real Bed,4,The Big Island,United States
10977704,Bright PrivateRm 1 min to JordanMTR,Hostel,Private room,Real Bed,1,Hong Kong,Hong Kong
1098211,Super location - Walk to the City!,Apartment,Entire home/apt,Real Bed,1,Sydney,Australia
10985735,enjoy nature in Istanbul,House,Entire home/apt,Real Bed,2,Istanbul,Turkey
10990260,The Executive  Posh Room,House,Private room,Real Bed,1,New York,United States
10992286,Holoholo Inn: Rain Forest (Priv-2),House,Private room,Real Bed,1,The Big Island,United States
10992671,Brooklyn Artist Loft / Fun Location,Apartment,Private room,Real Bed,1,New York,United States
11005300,East Village Sanctuary,Apartment,Entire home/apt,Real Bed,1,New York,United States
11006512,Alcam Colon 52 Apartment,Apartment,Entire home/apt,Real Bed,2,Barcelona,Spain
11007058,Alcam Colón 42 Apartment,Apartment,Entire home/apt,Real Bed,2,Barcelona,Spain
11007542,Spacious room Kadıköy Yeldeğirmeni,Apartment,Private room,Real Bed,1,Istanbul,Turkey
1101035,Sunny 1 or 2 BR apt in Boerum Hill,Apartment,Entire home/apt,Real Bed,1,New York,United States
11012484,,Apartment,Private room,Real Bed,1,Barcelona,Spain
1104768,2 Bdrm/2 Bath  Family Suite Ocean View,Condominium,Entire home/apt,Real Bed,2,Oahu,United States
11055163,Room 1 near Jordan Mtr station 1min,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
11080033,Sunny Bedroom in Downtown Montreal,Apartment,Private room,Real Bed,1,Montreal,Canada
11093339,Newly and comfortable apt,Condominium,Entire home/apt,Real Bed,0,Hong Kong,Hong Kong
11095139,Room 3 near Jardan mtr station 1min,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
11097962,"Home, Sweet, Harlem. Welcome!",Apartment,Entire home/apt,Real Bed,1,New York,United States
11098708,Convenient & Cozy Private Rm@Jordan,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
11108923,"Amazing NEW Food Lover Balcony, close to FIRA, MWC",Apartment,Entire home/apt,Real Bed,2,Barcelona,Spain
11113983,Nice Decorated Studio in Central,Townhouse,Entire home/apt,Real Bed,0,Istanbul,Turkey
1111410,MONTJUIC FOUNTAINS APARTMENT,Apartment,Entire home/apt,Real Bed,4,Barcelona,Spain
11115528,DOUBLE ROOM IN THE HEART OF BCN,Apartment,Private room,Real Bed,1,Barcelona,Spain
1112838,Spacious and quiet duplex apartment in Poble Sec,Apartment,Entire home/apt,Real Bed,3,Barcelona,Spain
11130156,Double Room,Bed and breakfast,Private room,Real Bed,1,Istanbul,Turkey
11131495,Charming apartment in Santa Teresa,Villa,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
11136898,1 or 2 rooms with private terrace in shared flat,Apartment,Private room,Real Bed,2,Barcelona,Spain
11144250,Burgazada da çarşıya yakın daire,Apartment,Entire home/apt,Real Bed,2,Istanbul,Turkey
11145180,Clean room in quiet area,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
11146498,A cosy room for female student,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11153910,SPACIOUS RAMBLA CATALUÑA,Apartment,Entire home/apt,Real Bed,4,Barcelona,Spain
11157167,Cozy Chinatown studio apartment,Apartment,Entire home/apt,Real Bed,0,New York,United States
1117706,"Bright, Bohemian, Spacious Apt in Williamsburg",Condominium,Entire home/apt,Real Bed,1,New York,United States
11191242,2 Bedroom in The East Village!,Apartment,Entire home/apt,Airbed,2,New York,United States
11193311,habitación doble tranquila con luz,Apartment,Private room,Real Bed,1,Barcelona,Spain
11194486,Lovely room in Caueway Bay!,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
11194788,,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11197217,2 Bedroom Ipanema-Copacabana,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
11207193,302 Kanai A Nalu Ocean front/view,Condominium,Entire home/apt,Real Bed,2,Maui,United States
11223389,Large Duplex in Midtown East with backyard!,Apartment,Entire home/apt,Real Bed,2,New York,United States
11242147,Prince Kuhio 315 ocean view steps to the beach,Apartment,Private room,Real Bed,1,Kauai,United States
11264406,"Mongkok Luxury Studio, New Reno *4A",Apartment,Entire home/apt,Real Bed,0,Hong Kong,Hong Kong
1127954,Conveniently located apartment,Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
1129061,Pineapple Paradise,Apartment,Entire home/apt,Real Bed,0,Oahu,United States
11305966,NEW FLAT + PRIVATE ROOFTOP IN SAY YING PUN,Apartment,Entire home/apt,Real Bed,2,Hong Kong,Hong Kong
1131054,Executive Luxury design Apartment,Apartment,Entire home/apt,Real Bed,2,Sydney,Australia
11319047,Sugar Beach Resort 1BR Ground Floor Condo !,Condominium,Entire home/apt,Real Bed,1,Maui,United States
1132409,Amazing Upper West Side Loft-Studio,Loft,Entire home/apt,Real Bed,,New York,United States
11335874,Huge bedroom in luxurious apartment,Apartment,Private room,Real Bed,1,New York,United States
1136399,Furnished Nolita Studio,Apartment,Entire home/apt,Real Bed,0,New York,United States
11364106,cozy house and garden in the heart of Montréal,Apartment,Entire home/apt,Real Bed,2,Montreal,Canada
11378656,HAPPY TO HELP YOU,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11379251,Cottage on Kona Coffee Farm,Cabin,Entire home/apt,Real Bed,1,The Big Island,United States
1138483,Bundeena Garden Studio near beaches,Cabin,Entire home/apt,Real Bed,1,Sydney,Australia
11387183,Quiet room in central Istanbul,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11396243,Beautiful Ensuite Room -Easy access to city,House,Private room,Real Bed,1,Sydney,Australia
1139810,2 confortables habitaciones en el centro de BCN!,Apartment,Private room,Real Bed,2,Barcelona,Spain
11406680,listing_id: (Phone number hidden by Airbnb) THE BEST LOCATION IN LEBLON,Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
11409841,Midillis 202 (Double Room),Apartment,Private room,Real Bed,1,Istanbul,Turkey
11413023,Lulapartment II,Apartment,Entire home/apt,Real Bed,2,Porto,Portugal
11420459,Loue 1 chambre privée,Apartment,Private room,Real Bed,1,Montreal,Canada
1143151,Harbourside Apartment - Water Views,Apartment,Entire home/apt,Real Bed,1,Sydney,Australia
1144090,O'Porto Studio | Historic Center,Loft,Entire home/apt,Real Bed,1,Porto,Portugal
11442936,1 sunny bedroom in large St-Henri appartment,Apartment,Private room,Real Bed,1,Montreal,Canada
11444539,Twin Room With Window,Bed and breakfast,Private room,Real Bed,1,Hong Kong,Hong Kong
11447743,Apartamento São Bento da Vitória 2 - Amazing view,Apartment,Entire home/apt,Real Bed,1,Porto,Portugal
1145567,ROOM + ENSUITE INNER CITY MOD HOUSE,House,Private room,Real Bed,1,Sydney,Australia
11459525,Beautiful in Ipanema for your Family,Apartment,Entire home/apt,Real Bed,3,Rio De Janeiro,Brazil
11464859,The Sassy Lilac Megan Love Room,House,Private room,Real Bed,1,The Big Island,United States
1146653,Luxury 1 Bedroom Central Park Views,Condominium,Entire home/apt,Real Bed,1,New York,United States
11472884,Apartamento de Luxo para Olimpíadas,Condominium,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
11480835,Brooklyn Bushwhick Private Room,Apartment,Private room,Real Bed,1,New York,United States
11488558,"Cosy flat,walking distance tocenter",Apartment,Private room,Real Bed,1,Istanbul,Turkey
1148978,1 BR 1/2 block to A/B/C/D trains,Apartment,Private room,Real Bed,1,New York,United States
11510109,LightHouse with Sea View,Apartment,Entire home/apt,Real Bed,1,Porto,Portugal
11533406,Tai Hang (Causeway Bay) Sunny Aprt',Apartment,Entire home/apt,Real Bed,2,Hong Kong,Hong Kong
1153834,GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Apartment,Entire home/apt,Real Bed,1,Barcelona,Spain
11552866,6 min. walk to metro & metrobus,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11553333,* Lani Beach House,House,Entire home/apt,Real Bed,3,Oahu,United States
11553357,Brick House: Unique Garden Apartment! King Bed!,Apartment,Entire home/apt,Real Bed,1,New York,United States
1155475,"Big, glamorous, 4BR, 3-story house",House,Entire home/apt,Real Bed,4,New York,United States
11557363,Wellyet Guest House@Room 2,Apartment,Private room,Real Bed,1,Hong Kong,Hong Kong
1155885,Fresh and modern 1BR in Bed-Stuy,Apartment,Entire home/apt,Real Bed,1,New York,United States
11566403,Feel like home,Apartment,Entire home/apt,Real Bed,0,Montreal,Canada
11567179,"Bright, sunny quite room Bushwick",Apartment,Private room,Real Bed,1,New York,United States
11567815,"Bright, Modern, Spacious Duplex Apt",Apartment,Entire home/apt,Real Bed,1,New York,United States
11567997,The Local Nook // Cozy Kona Hale,Guest suite,Entire home/apt,Real Bed,1,The Big Island,United States
11568230,Apartamento en casco antiguo,Apartment,Entire home/apt,Real Bed,3,Barcelona,Spain
11602050,Museum Mile 1 BR - Madison Ave,Apartment,Entire home/apt,Real Bed,1,New York,United States
11603201,"1 bedroom in Astoria, Queens",Apartment,Private room,Real Bed,1,New York,United States
11610598,The Ohana at Volcanoes National Park!,Guesthouse,Entire home/apt,Real Bed,1,The Big Island,United States
1163119,Charming apartment with balcony,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
11648362,Habitación centro Barcelona,Apartment,Private room,Real Bed,1,Barcelona,Spain
11648810,Appartement 3 1/2 en résidence,Condominium,Entire home/apt,Real Bed,1,Montreal,Canada
11656239,Charming Private Brooklyn Bedroom,Apartment,Private room,Real Bed,1,New York,United States
11667313,Brand new apartment next to HKU,Apartment,Entire home/apt,Real Bed,1,Hong Kong,Hong Kong
11679012,Apartamento com 2 quartos Leblon,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
11679106,.CidadeMaravilhosa.2017RIO,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
11688660,Studio Apartment w/ Private Rooftop,Apartment,Entire home/apt,Real Bed,0,Hong Kong,Hong Kong
11690230,Apartamento/Loft no Flamengo,Loft,Entire home/apt,Real Bed,0,Rio De Janeiro,Brazil
1169088,Next to Barcelona Fair and Magic Fountain,Apartment,Entire home/apt,Real Bed,4,Barcelona,Spain
116931,Nice room with queen sized bed,Apartment,Private room,Real Bed,1,Montreal,Canada
11693193,*CoZy Private Williamsburg Home*,Apartment,Entire home/apt,Real Bed,2,New York,United States
11695437,Cozy and modern Lapa-studio,Apartment,Entire home/apt,Real Bed,1,Rio De Janeiro,Brazil
11695637,Aluguel para Olimpiadas,Apartment,Entire home/apt,Real Bed,2,Rio De Janeiro,Brazil
11695887,2 BR Oceanview - Great Location!,Condominium,Entire home/apt,Real Bed,2,Maui,United States
11703559,Fabulous occasion orange,Apartment,Entire home/apt,Real Bed,0,Porto,Portugal
11708,Cute apt in artist's home,Apartment,Entire home/apt,Real Bed,1,New York,United States
11715762,Appartement avec gymnase et sauna,Apartment,Entire home/apt,Real Bed,1,Montreal,Canada
11716047,STUDIO COPACABANA VISTA MAR,Other,Entire home/apt,Real Bed,0,Rio De Janeiro,Brazil
11719579,Bondi beach sunny house,House,Private room,Real Bed,1,Sydney,Australia
11727255,Two Bed Room Spacious brand new,Apartment,Entire home/apt,Real Bed,2,Sydney,Australia
11737940,Göztepe Single Room,Apartment,Private room,Real Bed,1,Istanbul,Turkey
11740322,★Cozy doble bedroom ★Nearby Christ the Redeemer★,House,Private room,Real Bed,1,Rio De Janeiro,Brazil
117425,"Conveniently Located, Sunny Brooklyn Heights!",Apartment,Entire home/apt,Real Bed,1,New York,United States
11753116,Luxury Style Space: ideal for short or longterm!,Apartment,Private room,Real Bed,1,New York,United States
11757719,Quarto próximo ao Estádio Olímpico,House,Private room,Real Bed,1,Rio De Janeiro,Brazil
11764681,"Double Suite, with private bathroom.",Apartment,Private room,Real Bed,1,Barcelona,Spain
